year;state;month;number;date;;
1998;Acre;Jan;0;1998;Janeiro;
1999;Acre;Jan;0;1999;Janeiro;
2000;Acre;Jan;0;2000;Janeiro;
2001;Acre;Jan;0;2001;Janeiro;
2002;Acre;Jan;0;2002;Janeiro;
2003;Acre;Jan;10;2003;Janeiro;
2004;Acre;Jan;0;2004;Janeiro;
2005;Acre;Jan;12;2005;Janeiro;
2006;Acre;Jan;4;2006;Janeiro;
2007;Acre;Jan;0;2007;Janeiro;
2008;Acre;Jan;0;2008;Janeiro;
2009;Acre;Jan;0;2009;Janeiro;
2010;Acre;Jan;1;2010;Janeiro;
2011;Acre;Jan;0;2011;Janeiro;
2012;Acre;Jan;0;2012;Janeiro;
2013;Acre;Jan;0;2013;Janeiro;
2014;Acre;Jan;0;2014;Janeiro;
2015;Acre;Jan;1;2015;Janeiro;
2016;Acre;Jan;12;2016;Janeiro;
2017;Acre;Jan;0;2017;Janeiro;
1998;Acre;Feb;0;1998;Fevereiro;
1999;Acre;Feb;0;1999;Fevereiro;
2000;Acre;Feb;0;2000;Fevereiro;
2001;Acre;Feb;0;2001;Fevereiro;
2002;Acre;Feb;1;2002;Fevereiro;
2003;Acre;Feb;0;2003;Fevereiro;
2004;Acre;Feb;3;2004;Fevereiro;
2005;Acre;Feb;0;2005;Fevereiro;
2006;Acre;Feb;0;2006;Fevereiro;
2007;Acre;Feb;5;2007;Fevereiro;
2008;Acre;Feb;0;2008;Fevereiro;
2009;Acre;Feb;2;2009;Fevereiro;
2010;Acre;Feb;0;2010;Fevereiro;
2011;Acre;Feb;0;2011;Fevereiro;
2012;Acre;Feb;0;2012;Fevereiro;
2013;Acre;Feb;0;2013;Fevereiro;
2014;Acre;Feb;0;2014;Fevereiro;
2015;Acre;Feb;2;2015;Fevereiro;
2016;Acre;Feb;5;2016;Fevereiro;
2017;Acre;Feb;1;2017;Fevereiro;
1998;Acre;Mar;0;1998;Março;
1999;Acre;Mar;0;1999;Março;
2000;Acre;Mar;11;2000;Março;
2001;Acre;Mar;0;2001;Março;
2002;Acre;Mar;0;2002;Março;
2003;Acre;Mar;0;2003;Março;
2004;Acre;Mar;0;2004;Março;
2005;Acre;Mar;3;2005;Março;
2006;Acre;Mar;0;2006;Março;
2007;Acre;Mar;2;2007;Março;
2008;Acre;Mar;0;2008;Março;
2009;Acre;Mar;1;2009;Março;
2010;Acre;Mar;0;2010;Março;
2011;Acre;Mar;0;2011;Março;
2012;Acre;Mar;1;2012;Março;
2013;Acre;Mar;2;2013;Março;
2014;Acre;Mar;1;2014;Março;
2015;Acre;Mar;2;2015;Março;
2016;Acre;Mar;0;2016;Março;
2017;Acre;Mar;0;2017;Março;
1998;Acre;Apr;0;1998;Abril;
1999;Acre;Apr;0;1999;Abril;
2000;Acre;Apr;1;2000;Abril;
2001;Acre;Apr;0;2001;Abril;
2002;Acre;Apr;0;2002;Abril;
2003;Acre;Apr;1;2003;Abril;
2004;Acre;Apr;2;2004;Abril;
2005;Acre;Apr;1;2005;Abril;
2006;Acre;Apr;0;2006;Abril;
2007;Acre;Apr;0;2007;Abril;
2008;Acre;Apr;0;2008;Abril;
2009;Acre;Apr;0;2009;Abril;
2010;Acre;Apr;3;2010;Abril;
2011;Acre;Apr;2;2011;Abril;
2012;Acre;Apr;1;2012;Abril;
2013;Acre;Apr;19;2013;Abril;
2014;Acre;Apr;7;2014;Abril;
2015;Acre;Apr;3;2015;Abril;
2016;Acre;Apr;0;2016;Abril;
2017;Acre;Apr;1;2017;Abril;
1998;Acre;May;0;1998;Maio;
1999;Acre;May;0;1999;Maio;
2000;Acre;May;1;2000;Maio;
2001;Acre;May;0;2001;Maio;
2002;Acre;May;0;2002;Maio;
2003;Acre;May;6;2003;Maio;
2004;Acre;May;7;2004;Maio;
2005;Acre;May;2;2005;Maio;
2006;Acre;May;8;2006;Maio;
2007;Acre;May;1;2007;Maio;
2008;Acre;May;0;2008;Maio;
2009;Acre;May;3;2009;Maio;
2010;Acre;May;9;2010;Maio;
2011;Acre;May;3;2011;Maio;
2012;Acre;May;3;2012;Maio;
2013;Acre;May;4;2013;Maio;
2014;Acre;May;1;2014;Maio;
2015;Acre;May;2;2015;Maio;
2016;Acre;May;21;2016;Maio;
2017;Acre;May;10;2017;Maio;
1998;Acre;June;3;1998;Junho;
1999;Acre;June;0;1999;Junho;
2000;Acre;June;1;2000;Junho;
2001;Acre;June;1;2001;Junho;
2002;Acre;June;0;2002;Junho;
2003;Acre;June;0;2003;Junho;
2004;Acre;June;5;2004;Junho;
2005;Acre;June;27;2005;Junho;
2006;Acre;June;1;2006;Junho;
2007;Acre;June;4;2007;Junho;
2008;Acre;June;0;2008;Junho;
2009;Acre;June;0;2009;Junho;
2010;Acre;June;1;2010;Junho;
2011;Acre;June;10;2011;Junho;
2012;Acre;June;7;2012;Junho;
2013;Acre;June;8;2013;Junho;
2014;Acre;June;17;2014;Junho;
2015;Acre;June;40;2015;Junho;
2016;Acre;June;87;2016;Junho;
2017;Acre;June;45;2017;Junho;
1998;Acre;July;37;1998;Julho;
1999;Acre;July;1;1999;Julho;
2000;Acre;July;1;2000;Julho;
2001;Acre;July;3;2001;Julho;
2002;Acre;July;39;2002;Julho;
2003;Acre;July;168;2003;Julho;
2004;Acre;July;42;2004;Julho;
2005;Acre;July;368;2005;Julho;
2006;Acre;July;33;2006;Julho;
2007;Acre;July;29;2007;Julho;
2008;Acre;July;41;2008;Julho;
2009;Acre;July;31;2009;Julho;
2010;Acre;July;126;2010;Julho;
2011;Acre;July;93;2011;Julho;
2012;Acre;July;71;2012;Julho;
2013;Acre;July;54;2013;Julho;
2014;Acre;July;60;2014;Julho;
2015;Acre;July;109;2015;Julho;
2016;Acre;July;533;2016;Julho;
2017;Acre;July;457;2017;Julho;
1998;Acre;Aug;130;1998;Agosto;
1999;Acre;Aug;63;1999;Agosto;
2000;Acre;Aug;136;2000;Agosto;
2001;Acre;Aug;396;2001;Agosto;
2002;Acre;Aug;728;2002;Agosto;
2003;Acre;Aug;1.976;2003;Agosto;
2004;Acre;Aug;645;2004;Agosto;
2005;Acre;Aug;4.198;2005;Agosto;
2006;Acre;Aug;839;2006;Agosto;
2007;Acre;Aug;960;2007;Agosto;
2008;Acre;Aug;445;2008;Agosto;
2009;Acre;Aug;194;2009;Agosto;
2010;Acre;Aug;1.682;2010;Agosto;
2011;Acre;Aug;425;2011;Agosto;
2012;Acre;Aug;739;2012;Agosto;
2013;Acre;Aug;679;2013;Agosto;
2014;Acre;Aug;1.1;2014;Agosto;
2015;Acre;Aug;1.397;2015;Agosto;
2016;Acre;Aug;2.188;2016;Agosto;
2017;Acre;Aug;1.493;2017;Agosto;
1998;Acre;Sept;509;1998;Setembro;
1999;Acre;Sept;209;1999;Setembro;
2000;Acre;Sept;265;2000;Setembro;
2001;Acre;Sept;290;2001;Setembro;
2002;Acre;Sept;1.949;2002;Setembro;
2003;Acre;Sept;3.942;2003;Setembro;
2004;Acre;Sept;1.978;2004;Setembro;
2005;Acre;Sept;4.253;2005;Setembro;
2006;Acre;Sept;2.37;2006;Setembro;
2007;Acre;Sept;2.08;2007;Setembro;
2008;Acre;Sept;1.666;2008;Setembro;
2009;Acre;Sept;1.265;2009;Setembro;
2010;Acre;Sept;2.531;2010;Setembro;
2011;Acre;Sept;1.204;2011;Setembro;
2012;Acre;Sept;1.996;2012;Setembro;
2013;Acre;Sept;2.136;2013;Setembro;
2014;Acre;Sept;2.175;2014;Setembro;
2015;Acre;Sept;2.928;2015;Setembro;
2016;Acre;Sept;3.586;2016;Setembro;
2017;Acre;Sept;3.429;2017;Setembro;
1998;Acre;Oct;44;1998;Outubro;
1999;Acre;Oct;60;1999;Outubro;
2000;Acre;Oct;18;2000;Outubro;
2001;Acre;Oct;137;2001;Outubro;
2002;Acre;Oct;687;2002;Outubro;
2003;Acre;Oct;740;2003;Outubro;
2004;Acre;Oct;461;2004;Outubro;
2005;Acre;Oct;547;2005;Outubro;
2006;Acre;Oct;316;2006;Outubro;
2007;Acre;Oct;203;2007;Outubro;
2008;Acre;Oct;652;2008;Outubro;
2009;Acre;Oct;565;2009;Outubro;
2010;Acre;Oct;292;2010;Outubro;
2011;Acre;Oct;97;2011;Outubro;
2012;Acre;Oct;348;2012;Outubro;
2013;Acre;Oct;258;2013;Outubro;
2014;Acre;Oct;406;2014;Outubro;
2015;Acre;Oct;905;2015;Outubro;
2016;Acre;Oct;509;2016;Outubro;
2017;Acre;Oct;1.508;2017;Outubro;
1998;Acre;Nov;0;1998;Novembro;
1999;Acre;Nov;0;1999;Novembro;
2000;Acre;Nov;0;2000;Novembro;
2001;Acre;Nov;1;2001;Novembro;
2002;Acre;Nov;86;2002;Novembro;
2003;Acre;Nov;15;2003;Novembro;
2004;Acre;Nov;10;2004;Novembro;
2005;Acre;Nov;14;2005;Novembro;
2006;Acre;Nov;18;2006;Novembro;
2007;Acre;Nov;7;2007;Novembro;
2008;Acre;Nov;4;2008;Novembro;
2009;Acre;Nov;33;2009;Novembro;
2010;Acre;Nov;39;2010;Novembro;
2011;Acre;Nov;74;2011;Novembro;
2012;Acre;Nov;13;2012;Novembro;
2013;Acre;Nov;79;2013;Novembro;
2014;Acre;Nov;56;2014;Novembro;
2015;Acre;Nov;115;2015;Novembro;
2016;Acre;Nov;46;2016;Novembro;
2017;Acre;Nov;98;2017;Novembro;
1998;Acre;Dec;7;1998;Dezembro;
1999;Acre;Dec;0;1999;Dezembro;
2000;Acre;Dec;0;2000;Dezembro;
2001;Acre;Dec;0;2001;Dezembro;
2002;Acre;Dec;1;2002;Dezembro;
2003;Acre;Dec;1;2003;Dezembro;
2004;Acre;Dec;7;2004;Dezembro;
2005;Acre;Dec;2;2005;Dezembro;
2006;Acre;Dec;0;2006;Dezembro;
2007;Acre;Dec;0;2007;Dezembro;
2008;Acre;Dec;0;2008;Dezembro;
2009;Acre;Dec;1;2009;Dezembro;
2010;Acre;Dec;0;2010;Dezembro;
2011;Acre;Dec;4;2011;Dezembro;
2012;Acre;Dec;1;2012;Dezembro;
2013;Acre;Dec;3;2013;Dezembro;
2014;Acre;Dec;6;2014;Dezembro;
2015;Acre;Dec;8;2015;Dezembro;
2016;Acre;Dec;6;2016;Dezembro;
1998;Alagoas;Jan;0;1998;Janeiro;
1999;Alagoas;Jan;58;1999;Janeiro;
2000;Alagoas;Jan;11;2000;Janeiro;
2001;Alagoas;Jan;5;2001;Janeiro;
2002;Alagoas;Jan;12;2002;Janeiro;
2003;Alagoas;Jan;150;2003;Janeiro;
2004;Alagoas;Jan;9;2004;Janeiro;
2005;Alagoas;Jan;83;2005;Janeiro;
2006;Alagoas;Jan;29;2006;Janeiro;
2007;Alagoas;Jan;33;2007;Janeiro;
2008;Alagoas;Jan;55;2008;Janeiro;
2009;Alagoas;Jan;104;2009;Janeiro;
2010;Alagoas;Jan;23;2010;Janeiro;
2011;Alagoas;Jan;41;2011;Janeiro;
2012;Alagoas;Jan;36;2012;Janeiro;
2013;Alagoas;Jan;49;2013;Janeiro;
2014;Alagoas;Jan;54;2014;Janeiro;
2015;Alagoas;Jan;81;2015;Janeiro;
2016;Alagoas;Jan;24;2016;Janeiro;
2017;Alagoas;Jan;38;2017;Janeiro;
2017;Alagoas;Jan;38;2017;Janeiro;
1998;Alagoas;Feb;0;1998;Fevereiro;
1999;Alagoas;Feb;20;1999;Fevereiro;
2000;Alagoas;Feb;16;2000;Fevereiro;
2001;Alagoas;Feb;4;2001;Fevereiro;
2002;Alagoas;Feb;15;2002;Fevereiro;
2003;Alagoas;Feb;33;2003;Fevereiro;
2004;Alagoas;Feb;7;2004;Fevereiro;
2005;Alagoas;Feb;31;2005;Fevereiro;
2006;Alagoas;Feb;14;2006;Fevereiro;
2007;Alagoas;Feb;28;2007;Fevereiro;
2008;Alagoas;Feb;74;2008;Fevereiro;
2009;Alagoas;Feb;32;2009;Fevereiro;
2010;Alagoas;Feb;26;2010;Fevereiro;
2011;Alagoas;Feb;33;2011;Fevereiro;
2012;Alagoas;Feb;41;2012;Fevereiro;
2013;Alagoas;Feb;19;2013;Fevereiro;
2014;Alagoas;Feb;29;2014;Fevereiro;
2015;Alagoas;Feb;46;2015;Fevereiro;
2016;Alagoas;Feb;14;2016;Fevereiro;
2017;Alagoas;Feb;21;2017;Fevereiro;
1998;Alagoas;Mar;0;1998;Março;
1999;Alagoas;Mar;52;1999;Março;
2000;Alagoas;Mar;32;2000;Março;
2001;Alagoas;Mar;0;2001;Março;
2002;Alagoas;Mar;27;2002;Março;
2003;Alagoas;Mar;15;2003;Março;
2004;Alagoas;Mar;16;2004;Março;
2005;Alagoas;Mar;35;2005;Março;
2006;Alagoas;Mar;37;2006;Março;
2007;Alagoas;Mar;7;2007;Março;
2008;Alagoas;Mar;31;2008;Março;
2009;Alagoas;Mar;31;2009;Março;
2010;Alagoas;Mar;70;2010;Março;
2011;Alagoas;Mar;34;2011;Março;
2012;Alagoas;Mar;44;2012;Março;
2013;Alagoas;Mar;31;2013;Março;
2014;Alagoas;Mar;28;2014;Março;
2015;Alagoas;Mar;32;2015;Março;
2016;Alagoas;Mar;9;2016;Março;
2017;Alagoas;Mar;23;2017;Março;
1998;Alagoas;Apr;0;1998;Abril;
1999;Alagoas;Apr;4;1999;Abril;
2000;Alagoas;Apr;20;2000;Abril;
2001;Alagoas;Apr;0;2001;Abril;
2002;Alagoas;Apr;6;2002;Abril;
2003;Alagoas;Apr;20;2003;Abril;
2004;Alagoas;Apr;6;2004;Abril;
2005;Alagoas;Apr;1;2005;Abril;
2006;Alagoas;Apr;2;2006;Abril;
2007;Alagoas;Apr;1;2007;Abril;
2008;Alagoas;Apr;18;2008;Abril;
2009;Alagoas;Apr;5;2009;Abril;
2010;Alagoas;Apr;3;2010;Abril;
2011;Alagoas;Apr;17;2011;Abril;
2012;Alagoas;Apr;18;2012;Abril;
2013;Alagoas;Apr;25;2013;Abril;
2014;Alagoas;Apr;16;2014;Abril;
2015;Alagoas;Apr;63;2015;Abril;
2016;Alagoas;Apr;13;2016;Abril;
2017;Alagoas;Apr;7;2017;Abril;
1998;Alagoas;May;0;1998;Maio;
1999;Alagoas;May;1;1999;Maio;
2000;Alagoas;May;1;2000;Maio;
2001;Alagoas;May;2;2001;Maio;
2002;Alagoas;May;1;2002;Maio;
2003;Alagoas;May;1;2003;Maio;
2004;Alagoas;May;3;2004;Maio;
2005;Alagoas;May;0;2005;Maio;
2006;Alagoas;May;0;2006;Maio;
2007;Alagoas;May;0;2007;Maio;
2008;Alagoas;May;0;2008;Maio;
2009;Alagoas;May;0;2009;Maio;
2010;Alagoas;May;0;2010;Maio;
2011;Alagoas;May;0;2011;Maio;
2012;Alagoas;May;21;2012;Maio;
2013;Alagoas;May;2;2013;Maio;
2014;Alagoas;May;1;2014;Maio;
2015;Alagoas;May;18;2015;Maio;
2016;Alagoas;May;4;2016;Maio;
2017;Alagoas;May;1;2017;Maio;
1998;Alagoas;June;0;1998;Junho;
1999;Alagoas;June;0;1999;Junho;
2000;Alagoas;June;0;2000;Junho;
2001;Alagoas;June;2;2001;Junho;
2002;Alagoas;June;0;2002;Junho;
2003;Alagoas;June;0;2003;Junho;
2004;Alagoas;June;0;2004;Junho;
2005;Alagoas;June;0;2005;Junho;
2006;Alagoas;June;0;2006;Junho;
2007;Alagoas;June;0;2007;Junho;
2008;Alagoas;June;0;2008;Junho;
2009;Alagoas;June;0;2009;Junho;
2010;Alagoas;June;0;2010;Junho;
2011;Alagoas;June;2;2011;Junho;
2012;Alagoas;June;4;2012;Junho;
2013;Alagoas;June;1;2013;Junho;
2014;Alagoas;June;2;2014;Junho;
2015;Alagoas;June;2;2015;Junho;
2016;Alagoas;June;5;2016;Junho;
2017;Alagoas;June;2;2017;Junho;
1998;Alagoas;July;0;1998;Julho;
1999;Alagoas;July;0;1999;Julho;
2000;Alagoas;July;0;2000;Julho;
2001;Alagoas;July;0;2001;Julho;
2002;Alagoas;July;5;2002;Julho;
2003;Alagoas;July;0;2003;Julho;
2004;Alagoas;July;0;2004;Julho;
2005;Alagoas;July;0;2005;Julho;
2006;Alagoas;July;0;2006;Julho;
2007;Alagoas;July;0;2007;Julho;
2008;Alagoas;July;0;2008;Julho;
2009;Alagoas;July;0;2009;Julho;
2010;Alagoas;July;2;2010;Julho;
2011;Alagoas;July;0;2011;Julho;
2012;Alagoas;July;0;2012;Julho;
2013;Alagoas;July;0;2013;Julho;
2014;Alagoas;July;1;2014;Julho;
2015;Alagoas;July;0;2015;Julho;
2016;Alagoas;July;3;2016;Julho;
2017;Alagoas;July;0;2017;Julho;
1998;Alagoas;Aug;1;1998;Agosto;
1999;Alagoas;Aug;3;1999;Agosto;
2000;Alagoas;Aug;4;2000;Agosto;
2001;Alagoas;Aug;1;2001;Agosto;
2002;Alagoas;Aug;3;2002;Agosto;
2003;Alagoas;Aug;2;2003;Agosto;
2004;Alagoas;Aug;2;2004;Agosto;
2005;Alagoas;Aug;2;2005;Agosto;
2006;Alagoas;Aug;1;2006;Agosto;
2007;Alagoas;Aug;3;2007;Agosto;
2008;Alagoas;Aug;1;2008;Agosto;
2009;Alagoas;Aug;0;2009;Agosto;
2010;Alagoas;Aug;1;2010;Agosto;
2011;Alagoas;Aug;4;2011;Agosto;
2012;Alagoas;Aug;0;2012;Agosto;
2013;Alagoas;Aug;0;2013;Agosto;
2014;Alagoas;Aug;3;2014;Agosto;
2015;Alagoas;Aug;3;2015;Agosto;
2016;Alagoas;Aug;5;2016;Agosto;
2017;Alagoas;Aug;1;2017;Agosto;
1998;Alagoas;Sept;14;1998;Setembro;
1999;Alagoas;Sept;3;1999;Setembro;
2000;Alagoas;Sept;22;2000;Setembro;
2001;Alagoas;Sept;5;2001;Setembro;
2002;Alagoas;Sept;14;2002;Setembro;
2003;Alagoas;Sept;8;2003;Setembro;
2004;Alagoas;Sept;5;2004;Setembro;
2005;Alagoas;Sept;7;2005;Setembro;
2006;Alagoas;Sept;4;2006;Setembro;
2007;Alagoas;Sept;2;2007;Setembro;
2008;Alagoas;Sept;9;2008;Setembro;
2009;Alagoas;Sept;13;2009;Setembro;
2010;Alagoas;Sept;5;2010;Setembro;
2011;Alagoas;Sept;5;2011;Setembro;
2012;Alagoas;Sept;6;2012;Setembro;
2013;Alagoas;Sept;4;2013;Setembro;
2014;Alagoas;Sept;11;2014;Setembro;
2015;Alagoas;Sept;7;2015;Setembro;
2016;Alagoas;Sept;18;2016;Setembro;
2017;Alagoas;Sept;4;2017;Setembro;
1998;Alagoas;Oct;20;1998;Outubro;
1999;Alagoas;Oct;4;1999;Outubro;
2000;Alagoas;Oct;13;2000;Outubro;
2001;Alagoas;Oct;15;2001;Outubro;
2002;Alagoas;Oct;30;2002;Outubro;
2003;Alagoas;Oct;10;2003;Outubro;
2004;Alagoas;Oct;12;2004;Outubro;
2005;Alagoas;Oct;17;2005;Outubro;
2006;Alagoas;Oct;32;2006;Outubro;
2007;Alagoas;Oct;6;2007;Outubro;
2008;Alagoas;Oct;18;2008;Outubro;
2009;Alagoas;Oct;30;2009;Outubro;
2010;Alagoas;Oct;16;2010;Outubro;
2011;Alagoas;Oct;23;2011;Outubro;
2012;Alagoas;Oct;28;2012;Outubro;
2013;Alagoas;Oct;25;2013;Outubro;
2014;Alagoas;Oct;7;2014;Outubro;
2015;Alagoas;Oct;40;2015;Outubro;
2016;Alagoas;Oct;74;2016;Outubro;
2017;Alagoas;Oct;14;2017;Outubro;
1998;Alagoas;Nov;19;1998;Novembro;
1999;Alagoas;Nov;15;1999;Novembro;
2000;Alagoas;Nov;2;2000;Novembro;
2001;Alagoas;Nov;22;2001;Novembro;
2002;Alagoas;Nov;50;2002;Novembro;
2003;Alagoas;Nov;17;2003;Novembro;
2004;Alagoas;Nov;28;2004;Novembro;
2005;Alagoas;Nov;25;2005;Novembro;
2006;Alagoas;Nov;12;2006;Novembro;
2007;Alagoas;Nov;15;2007;Novembro;
2008;Alagoas;Nov;37;2008;Novembro;
2009;Alagoas;Nov;55;2009;Novembro;
2010;Alagoas;Nov;31;2010;Novembro;
2011;Alagoas;Nov;23;2011;Novembro;
2012;Alagoas;Nov;95;2012;Novembro;
2013;Alagoas;Nov;10;2013;Novembro;
2014;Alagoas;Nov;14;2014;Novembro;
2015;Alagoas;Nov;162;2015;Novembro;
2016;Alagoas;Nov;76;2016;Novembro;
2017;Alagoas;Nov;10;2017;Novembro;
1998;Alagoas;Dec;32;1998;Dezembro;
1999;Alagoas;Dec;12;1999;Dezembro;
2000;Alagoas;Dec;2;2000;Dezembro;
2001;Alagoas;Dec;30;2001;Dezembro;
2002;Alagoas;Dec;95;2002;Dezembro;
2003;Alagoas;Dec;43;2003;Dezembro;
2004;Alagoas;Dec;71;2004;Dezembro;
2005;Alagoas;Dec;16;2005;Dezembro;
2006;Alagoas;Dec;30;2006;Dezembro;
2007;Alagoas;Dec;33;2007;Dezembro;
2008;Alagoas;Dec;34;2008;Dezembro;
2009;Alagoas;Dec;55;2009;Dezembro;
2010;Alagoas;Dec;45;2010;Dezembro;
2011;Alagoas;Dec;50;2011;Dezembro;
2012;Alagoas;Dec;59;2012;Dezembro;
2013;Alagoas;Dec;42;2013;Dezembro;
2014;Alagoas;Dec;24;2014;Dezembro;
2015;Alagoas;Dec;136;2015;Dezembro;
2016;Alagoas;Dec;155;2016;Dezembro;
1998;Amapa;Jan;0;1998;Janeiro;
1999;Amapa;Jan;0;1999;Janeiro;
2000;Amapa;Jan;2;2000;Janeiro;
2001;Amapa;Jan;0;2001;Janeiro;
2002;Amapa;Jan;7;2002;Janeiro;
2003;Amapa;Jan;31;2003;Janeiro;
2004;Amapa;Jan;38;2004;Janeiro;
2005;Amapa;Jan;109;2005;Janeiro;
2006;Amapa;Jan;6;2006;Janeiro;
2007;Amapa;Jan;0;2007;Janeiro;
2008;Amapa;Jan;2;2008;Janeiro;
2009;Amapa;Jan;4;2009;Janeiro;
2010;Amapa;Jan;2;2010;Janeiro;
2011;Amapa;Jan;0;2011;Janeiro;
2012;Amapa;Jan;30;2012;Janeiro;
2013;Amapa;Jan;3;2013;Janeiro;
2014;Amapa;Jan;10;2014;Janeiro;
2015;Amapa;Jan;14;2015;Janeiro;
2016;Amapa;Jan;19;2016;Janeiro;
2017;Amapa;Jan;2;2017;Janeiro;
1998;Amapa;Feb;0;1998;Fevereiro;
1999;Amapa;Feb;1;1999;Fevereiro;
2000;Amapa;Feb;0;2000;Fevereiro;
2001;Amapa;Feb;0;2001;Fevereiro;
2002;Amapa;Feb;2;2002;Fevereiro;
2003;Amapa;Feb;0;2003;Fevereiro;
2004;Amapa;Feb;2;2004;Fevereiro;
2005;Amapa;Feb;1;2005;Fevereiro;
2006;Amapa;Feb;2;2006;Fevereiro;
2007;Amapa;Feb;0;2007;Fevereiro;
2008;Amapa;Feb;0;2008;Fevereiro;
2009;Amapa;Feb;0;2009;Fevereiro;
2010;Amapa;Feb;0;2010;Fevereiro;
2011;Amapa;Feb;3;2011;Fevereiro;
2012;Amapa;Feb;5;2012;Fevereiro;
2013;Amapa;Feb;0;2013;Fevereiro;
2014;Amapa;Feb;2;2014;Fevereiro;
2015;Amapa;Feb;1;2015;Fevereiro;
2016;Amapa;Feb;1;2016;Fevereiro;
2017;Amapa;Feb;0;2017;Fevereiro;
1998;Amapa;Mar;0;1998;Março;
1999;Amapa;Mar;2;1999;Março;
2000;Amapa;Mar;0;2000;Março;
2001;Amapa;Mar;0;2001;Março;
2002;Amapa;Mar;0;2002;Março;
2003;Amapa;Mar;1;2003;Março;
2004;Amapa;Mar;0;2004;Março;
2005;Amapa;Mar;0;2005;Março;
2006;Amapa;Mar;0;2006;Março;
2007;Amapa;Mar;0;2007;Março;
2008;Amapa;Mar;1;2008;Março;
2009;Amapa;Mar;1;2009;Março;
2010;Amapa;Mar;2;2010;Março;
2011;Amapa;Mar;0;2011;Março;
2012;Amapa;Mar;1;2012;Março;
2013;Amapa;Mar;0;2013;Março;
2014;Amapa;Mar;1;2014;Março;
2015;Amapa;Mar;2;2015;Março;
2016;Amapa;Mar;5;2016;Março;
2017;Amapa;Mar;0;2017;Março;
1998;Amapa;Apr;0;1998;Abril;
1999;Amapa;Apr;0;1999;Abril;
2000;Amapa;Apr;0;2000;Abril;
2001;Amapa;Apr;0;2001;Abril;
2002;Amapa;Apr;0;2002;Abril;
2003;Amapa;Apr;2;2003;Abril;
2004;Amapa;Apr;0;2004;Abril;
2005;Amapa;Apr;0;2005;Abril;
2006;Amapa;Apr;0;2006;Abril;
2007;Amapa;Apr;0;2007;Abril;
2008;Amapa;Apr;2;2008;Abril;
2009;Amapa;Apr;0;2009;Abril;
2010;Amapa;Apr;2;2010;Abril;
2011;Amapa;Apr;0;2011;Abril;
2012;Amapa;Apr;2;2012;Abril;
2013;Amapa;Apr;2;2013;Abril;
2014;Amapa;Apr;0;2014;Abril;
2015;Amapa;Apr;0;2015;Abril;
2016;Amapa;Apr;0;2016;Abril;
2017;Amapa;Apr;3;2017;Abril;
1998;Amapa;May;0;1998;Maio;
1999;Amapa;May;0;1999;Maio;
2000;Amapa;May;0;2000;Maio;
2001;Amapa;May;0;2001;Maio;
2002;Amapa;May;3;2002;Maio;
2003;Amapa;May;0;2003;Maio;
2004;Amapa;May;0;2004;Maio;
2005;Amapa;May;0;2005;Maio;
2006;Amapa;May;0;2006;Maio;
2007;Amapa;May;0;2007;Maio;
2008;Amapa;May;0;2008;Maio;
2009;Amapa;May;2;2009;Maio;
2010;Amapa;May;2;2010;Maio;
2011;Amapa;May;2;2011;Maio;
2012;Amapa;May;2;2012;Maio;
2013;Amapa;May;0;2013;Maio;
2014;Amapa;May;0;2014;Maio;
2015;Amapa;May;0;2015;Maio;
2016;Amapa;May;1;2016;Maio;
2017;Amapa;May;1;2017;Maio;
1998;Amapa;June;0;1998;Junho;
1999;Amapa;June;2;1999;Junho;
2000;Amapa;June;0;2000;Junho;
2001;Amapa;June;0;2001;Junho;
2002;Amapa;June;0;2002;Junho;
2003;Amapa;June;0;2003;Junho;
2004;Amapa;June;5;2004;Junho;
2005;Amapa;June;2;2005;Junho;
2006;Amapa;June;0;2006;Junho;
2007;Amapa;June;0;2007;Junho;
2008;Amapa;June;0;2008;Junho;
2009;Amapa;June;1;2009;Junho;
2010;Amapa;June;0;2010;Junho;
2011;Amapa;June;0;2011;Junho;
2012;Amapa;June;7;2012;Junho;
2013;Amapa;June;1;2013;Junho;
2014;Amapa;June;0;2014;Junho;
2015;Amapa;June;3;2015;Junho;
2016;Amapa;June;2;2016;Junho;
2017;Amapa;June;2;2017;Junho;
1998;Amapa;July;0;1998;Julho;
1999;Amapa;July;0;1999;Julho;
2000;Amapa;July;0;2000;Julho;
2001;Amapa;July;1;2001;Julho;
2002;Amapa;July;1;2002;Julho;
2003;Amapa;July;0;2003;Julho;
2004;Amapa;July;2;2004;Julho;
2005;Amapa;July;0;2005;Julho;
2006;Amapa;July;0;2006;Julho;
2007;Amapa;July;0;2007;Julho;
2008;Amapa;July;0;2008;Julho;
2009;Amapa;July;4;2009;Julho;
2010;Amapa;July;2;2010;Julho;
2011;Amapa;July;5;2011;Julho;
2012;Amapa;July;3;2012;Julho;
2013;Amapa;July;1;2013;Julho;
2014;Amapa;July;4;2014;Julho;
2015;Amapa;July;5;2015;Julho;
2016;Amapa;July;1;2016;Julho;
2017;Amapa;July;3;2017;Julho;
1998;Amapa;Aug;1;1998;Agosto;
1999;Amapa;Aug;0;1999;Agosto;
2000;Amapa;Aug;3;2000;Agosto;
2001;Amapa;Aug;12;2001;Agosto;
2002;Amapa;Aug;18;2002;Agosto;
2003;Amapa;Aug;14;2003;Agosto;
2004;Amapa;Aug;9;2004;Agosto;
2005;Amapa;Aug;4;2005;Agosto;
